n,merge,hybrid5,hybrid10,hybrid20,hybrid30,hybrid50
31200,18493,18150,17231,17806,19814,24029
31300,19031,27113,36099,21492,20912,39300
31400,33820,32400,28737,50909,32670,49784
31500,34791,28339,23526,19690,21338,22506
31600,18400,18871,17100,18739,18814,22185
31700,18167,17842,17540,19644,19438,36488
31800,51637,43587,29302,29815,28901,41906
31900,31023,23288,17340,20831,37941,38815
32000,19550,19478,18076,19759,28885,37523
32100,45970,45344,41489,45435,23540,35149
32200,41960,27313,23054,33338,41581,27531
32300,20758,24311,22436,22816,21103,25266
32400,19853,30149,44295,52784,50604,52188
32500,33502,24744,27242,33726,27854,33844
32600,38669,27680,20500,19720,19776,23028
32700,27031,23833,21396,23864,24322,28921
32800,41075,41121,21231,23576,40977,35351
32900,22159,25787,33112,32393,29025,46929
33000,49319,31295,23121,19665,21041,32281
33100,38507,19944,22442,31877,23242,25825
33200,19885,20687,17768,20251,42898,35123
33300,41934,56603,34455,52976,34235,60185
33400,21342,17370,18585,29445,25567,24882
33500,20125,18365,21355,19900,19772,23974
33600,19271,34413,23235,30734,25395,25156
33700,18981,25807,63271,51726,34756,52801
33800,34117,29831,28536,28828,42420,31020
33900,23044,21712,22253,41398,29260,34213
34000,31294,27465,26052,33289,47359,82681
34100,70933,66932,63289,50715,34254,45591
34200,28512,25351,20611,23474,22424,28335
34300,27190,19669,24132,22220,26794,68878
34400,70324,30748,28312,36489,33642,50863
34500,29181,20598,20385,21360,20508,26016
34600,21658,19011,19176,21044,27241,32889
34700,24230,18606,21938,21009,20589,25718
34800,21993,18678,19226,21204,20316,25947
34900,21439,19109,18986,21087,21023,27204
35000,20145,19609,24583,25803,28055,26748
35100,20527,20618,19846,21399,20823,25677
35200,22090,20338,38001,22737,21137,25328
35300,21355,20637,21610,22027,29132,32733
35400,28501,19735,19582,21686,22345,25865
35500,22417,20012,20844,21733,21316,27918
35600,21379,19160,21773,22336,22778,26545
35700,35373,66239,67315,83113,77322,41294
35800,28792,24254,20353,22600,23666,28417
35900,23431,19895,20648,22086,25302,26278
36000,22162,20597,24470,27318,25660,38016
36100,28613,21991,23178,25029,32620,34423
36200,22916,21064,21772,22977,22039,27937
36300,22258,19148,22198,23108,31189,32593
36400,26958,21317,24859,25893,22439,27179
36500,21368,21731,22618,21733,22919,29706
36600,23158,19635,21653,22318,22267,30352
36700,29734,25361,29166,23431,22544,28759
36800,21382,19674,21678,29520,22575,27023
36900,25920,21196,20902,22735,27682,30123
37000,23761,25888,24227,25796,25494,29624
37100,26104,20572,21736,24954,25589,30674
37200,21972,23653,20297,22263,24591,28295
37300,21618,21362,21833,36461,39672,30230
37400,22311,22729,20997,23714,28618,28916
37500,23032,20494,21729,22748,22398,28007
37600,28408,28696,26481,43289,44010,37962
37700,23978,26143,27827,28471,27926,33058
37800,23098,21223,25112,27664,27654,37203
37900,22534,22159,26421,42659,33386,37456
38000,42160,23835,25354,32271,26273,37075
38100,38682,70094,34497,25260,24621,39729
38200,46930,45348,37157,41619,33422,33390
38300,25872,28876,46651,63900,34205,40715
38400,42041,46199,45862,79200,49612,45337
38500,29971,22486,30440,30809,28467,39925
38600,31653,27063,36266,41492,72370,111874
38700,86811,73143,77250,62900,69096,63336
38800,33074,28528,33879,32308,27541,33300
38900,29213,39777,44198,52807,37704,54471
39000,37469,35242,29696,30477,27129,36050
